city,lat,lon,temp,humidity,wind,cloudiness,country
Dessie,11.13,39.63,56.41,91,2.42,100,ET
At-Bashi,41.17,75.81,55.24,69,4.38,53,KG
Lavrentiya,65.58,-171.0,47.28,75,5.84,91,RU
Bandarbeyla,9.49,50.81,78.3,78,22.91,0,SO
Tautira,-17.73,-149.15,82.4,65,17.22,40,PF
Ruteng,-8.61,120.47,57.22,87,1.95,71,ID
Mahébourg,-20.41,57.7,69.8,83,6.93,75,MU
Gornopravdinsk,60.05,69.9,44.58,90,4.32,59,RU
Ardakān,32.31,54.02,84.2,17,4.7,0,IR
Hong Kong,22.29,114.16,86.0,74,3.11,42,HK
Samarai,-10.62,150.67,78.4,87,16.24,52,PG
Atar,20.52,-13.05,89.78,30,14.43,0,MR
Tilichiki,60.47,166.1,62.46,63,2.98,0,RU
Inta,66.03,60.17,46.74,82,8.57,78,RU
Padang,-0.95,100.35,75.96,81,4.97,74,ID
Cape Town,-33.93,18.42,54.0,81,5.82,0,ZA
Jizan,17.33,42.67,82.4,83,5.95,20,SA
Zhigansk,66.77,123.37,48.99,67,23.53,0,RU
Titay,7.81,122.53,77.2,86,0.89,100,PH
Ternovka,51.68,41.64,62.71,63,6.64,0,RU
Airai,-8.93,125.41,56.08,74,3.33,29,TL
Chabahar,25.29,60.64,86.0,84,3.67,5,IR
Nemuro,43.32,145.57,59.54,88,7.36,99,JP
Plettenberg Bay,-34.05,23.37,57.51,80,7.4,77,ZA
Bodmin,50.47,-4.72,57.2,82,9.17,40,GB
Ukiah,39.15,-123.21,102.2,13,9.46,1,US
Esperance,-33.87,121.9,46.4,93,6.93,1,AU
Ust-Maya,60.42,134.53,61.63,90,1.97,100,RU
Tura,25.52,90.22,74.12,97,4.61,100,IN
Shwebo,22.57,95.7,77.47,88,8.28,82,MM
Kumul,42.8,93.45,72.19,40,9.17,1,CN
Flinders,-34.58,150.86,60.01,80,7.0,62,AU
Carnarvon,-24.87,113.63,57.2,87,10.29,0,AU
Severo-Kuril'sk,50.68,156.12,53.89,82,17.27,85,RU
Norman Wells,65.28,-126.83,64.4,68,9.17,75,CA
Nekrasovskaya,45.14,39.75,66.2,93,6.71,40,RU
Hithadhoo,-0.6,73.08,82.54,76,11.83,97,MV
Emba,48.83,58.14,64.51,56,6.42,4,KZ
Khorixas,-20.37,14.97,53.35,43,2.06,0,NA
Dongsheng,39.82,109.98,70.25,54,6.46,0,CN
Port Lincoln,-34.73,135.87,55.0,90,10.09,17,AU
Salalah,17.02,54.09,78.8,100,4.7,75,OM
Tiznit Province,29.58,-9.5,75.63,47,1.19,0,MA
Pevek,69.7,170.31,35.92,85,10.16,86,RU
Novy Urengoy,66.08,76.63,51.64,72,11.1,99,RU
Qaanaaq,77.48,-69.36,44.51,71,4.97,26,GL
Vila,42.03,-8.16,66.2,77,5.82,0,PT
Hasaki,35.73,140.83,70.0,94,13.87,75,JP
Divo,5.84,-5.36,68.94,97,3.53,84,CI
Gori,41.98,44.12,69.3,82,3.65,76,GE
Xiuyan,40.29,123.27,71.2,85,2.39,0,CN
São Desidério,-12.36,-44.97,70.14,43,4.56,8,BR
Saskylakh,71.92,114.08,50.99,58,4.85,30,RU
Muncar,-8.43,114.33,70.97,82,3.87,68,ID
Codrington,-38.27,141.97,44.29,88,10.11,1,AU
Butaritari,3.07,172.79,81.46,82,14.97,100,KI
Chernyshevskiy,63.01,112.47,51.03,86,4.88,100,RU
Lodja,-3.48,23.43,72.73,44,0.85,2,CD
Matara,5.95,80.54,77.5,87,11.52,100,LK
Parga,39.28,20.4,77.0,78,6.93,0,GR
Yaan,7.38,8.57,72.09,96,6.46,100,NG
Omboué,-1.57,9.26,73.02,81,8.34,31,GA
Mount Gambier,-37.83,140.77,39.2,100,11.41,90,AU
Cherskiy,68.75,161.3,49.59,53,12.68,8,RU
Kahului,20.89,-156.47,86.0,55,20.8,40,US
Henties Bay,-22.12,14.28,55.0,93,1.99,0,NA
Ipaussu,-23.06,-49.63,69.75,60,2.15,50,BR
Russell,32.35,-85.2,81.0,83,3.36,75,US
Tiksi,71.69,128.87,41.67,82,7.67,96,RU
San Cristobal,7.77,-72.22,89.6,49,11.41,40,VE
Marsh Harbour,26.54,-77.06,83.23,72,7.81,72,BS
Batagay-Alyta,67.8,130.41,45.81,75,4.25,99,RU
Saint Anthony,45.02,-93.22,84.2,39,8.05,20,US
Portland,45.52,-122.68,90.0,25,5.82,20,US
Baykit,61.67,96.37,57.07,84,2.91,65,RU
Trelew,-43.25,-65.31,43.11,63,6.96,0,AR
Ancud,-41.87,-73.82,44.6,81,2.24,75,CL
Zhangjiakou Shi Xuanhua Qu,40.61,115.04,70.61,73,0.6,18,CN
Paamiut,61.99,-49.67,46.67,96,6.89,100,GL
Richards Bay,-28.78,32.04,60.73,78,9.86,0,ZA
Kaitangata,-46.28,169.85,51.01,69,3.0,71,NZ
Athens,37.98,23.72,82.99,42,9.17,0,GR
Zemio,5.03,25.14,69.08,94,2.19,100,CF
Berdigestyakh,62.1,126.7,55.96,73,1.92,100,RU
Cheremkhovo,53.16,103.07,60.06,80,2.19,95,RU
Hofn,64.25,-15.21,50.7,86,7.2,83,IS
Lebu,-37.62,-73.65,46.62,82,15.08,1,CL
Castro,-24.79,-50.01,64.24,71,5.66,83,BR
Sagone,42.12,8.7,73.4,69,5.82,0,FR
Kindu,-2.95,25.95,72.48,45,0.6,0,CD
Marovoay,-16.1,46.63,70.77,72,2.44,28,MG
Alice Springs,-23.7,133.88,41.0,65,1.12,0,AU
Lakes Entrance,-37.88,147.98,51.01,99,7.18,94,AU
Sambava,-14.27,50.17,73.44,87,12.44,93,MG
Aklavik,68.22,-135.01,53.6,93,13.87,90,CA
Jardim,-21.48,-56.14,73.36,60,9.4,82,BR
Talgar,43.3,77.24,66.2,59,8.95,75,KZ
Fergus Falls,46.28,-96.08,81.0,47,10.29,1,US
Praia,14.92,-23.51,80.6,78,8.05,75,CV
Agía Galíni,35.1,24.68,79.0,53,8.34,0,GR
Tazovsky,67.47,78.7,47.25,77,7.76,97,RU
La Ronge,55.1,-105.28,84.2,39,13.87,20,CA
Biltine,14.53,20.92,82.51,62,15.08,59,TD
Casian,11.04,119.71,81.91,77,7.7,97,PH
Labuhan,-6.88,112.21,73.58,82,11.16,58,ID
Vardø,70.37,31.11,55.0,95,9.86,74,NO
Beihai,21.48,109.1,83.52,79,5.21,9,CN
Iqaluit,63.75,-68.51,69.8,49,14.99,75,CA
Bathsheba,13.22,-59.52,77.0,94,12.75,75,BB
Honningsvåg,70.98,25.97,53.6,93,1.12,66,NO
Pundaguitan,6.37,126.17,82.58,73,3.18,100,PH
Nyurba,63.28,118.33,52.56,74,9.24,100,RU
Weiser,44.25,-116.97,97.0,23,3.36,1,US
Coquimbo,-29.95,-71.34,59.0,72,5.82,0,CL
Buraidah,26.33,43.98,95.0,24,3.36,59,SA
Cabedelo,-6.98,-34.83,73.4,88,5.82,20,BR
Yulara,-25.24,130.99,39.2,60,5.82,0,AU
Anadyr,64.75,177.48,59.0,67,8.95,40,RU
Formosa,-26.18,-58.18,50.0,61,6.93,45,AR
Alofi,-19.06,-169.92,75.2,73,14.99,75,NU
Rodnikovo,45.04,33.95,66.38,80,0.6,2,UA
Dolores,-36.31,-57.68,43.16,67,5.26,54,AR
Rocha,-34.48,-54.33,38.59,82,7.25,0,UY
San Patricio,19.22,-104.7,89.6,66,11.41,40,MX
Potiskum,11.71,11.07,79.92,70,8.9,68,NG
Chapais,49.78,-74.85,69.8,64,12.75,40,CA
Paoua,7.24,16.44,68.9,95,1.21,99,CF
Lubbock,33.6,-101.83,93.99,36,4.7,90,US
Santa Vitória do Palmar,-33.52,-53.37,43.12,78,7.85,11,BR
Yenagoa,4.92,6.26,74.14,92,3.58,96,NG
Laguna,38.42,-121.42,99.0,26,6.93,5,US
Price,39.6,-110.81,89.6,15,12.75,1,US
Todos Santos,23.45,-110.22,75.99,83,1.01,98,MX
Bambanglipuro,-7.95,110.28,72.57,85,6.4,43,ID
Mpanda,-6.37,31.04,62.2,64,3.62,6,TZ
Conceição da Barra,-18.59,-39.73,71.82,81,5.75,28,BR
Half Moon Bay,37.46,-122.43,75.99,87,9.17,75,US
Haines Junction,60.75,-137.51,51.39,84,0.65,100,CA
Bilibino,68.05,166.44,55.13,52,2.82,99,RU
Aden,12.78,45.04,86.29,74,13.49,1,YE
Carauari,-4.88,-66.9,79.75,72,2.1,12,BR
Nouadhibou,20.93,-17.03,71.6,88,19.46,75,MR
Broome,42.25,-75.83,80.6,39,5.82,1,US
Jieshi,22.81,115.83,83.73,78,3.74,65,CN
Vostok,46.49,135.88,70.32,89,2.28,16,RU
North Bend,43.41,-124.22,78.01,72,17.22,1,US
Ndago,-4.6,34.35,62.67,64,14.12,0,TZ
Sobolevo,54.43,31.9,63.46,93,7.83,96,RU
Ignacio Zaragoza,28.38,-107.22,79.0,44,5.01,82,MX
Lyudinovo,53.87,34.45,62.51,92,5.53,100,RU
Tuatapere,-46.13,167.68,50.0,76,5.01,67,NZ
Margate,51.38,1.39,62.01,60,1.99,35,GB
Nabire,-3.37,135.48,78.24,83,3.69,97,ID
Nago,26.59,127.98,84.2,89,12.75,20,JP
Alvdal,62.11,10.63,53.6,100,10.29,100,NO
Los Llanos de Aridane,28.66,-17.92,73.4,69,19.46,90,ES
Saint-Philippe,-21.36,55.77,69.8,73,19.46,100,RE
Sola,-13.88,167.55,80.2,79,23.22,88,VU
Mešeišta,41.24,20.78,63.32,55,4.38,0,MK
Florence,43.77,11.25,77.0,78,3.36,3,IT
Ürümqi,43.8,87.6,68.0,68,2.24,22,CN
Meridian,43.61,-116.39,98.01,17,3.36,1,US
Trimbak,19.93,73.55,69.76,100,4.05,100,IN
Plouzané,48.38,-4.62,55.4,93,2.24,32,FR
Kazachka,53.36,38.07,62.58,73,6.2,0,RU
Te Anau,-45.42,167.72,44.19,88,1.59,93,NZ
Wencheng,33.06,113.8,75.88,92,3.27,100,CN
Troitsko-Pechorsk,62.71,56.2,51.76,79,2.77,10,RU
Touros,-5.2,-35.46,73.4,83,3.36,12,BR
Kuala Terengganu,5.33,103.14,78.8,94,3.36,20,MY
Mormugao,15.4,73.8,80.44,84,8.05,100,IN
Antofagasta,-23.65,-70.4,55.4,82,6.93,20,CL
Isla Vista,34.41,-119.86,84.0,64,9.17,1,US
Tripoli,32.88,13.19,77.61,74,9.93,0,LY
Bengkulu,-3.8,102.27,73.29,90,4.21,78,ID
Santiago,-33.46,-70.65,59.0,41,2.42,0,CL
Saint-Pierre,-21.34,55.48,69.8,73,19.46,98,RE
Vanavara,60.34,102.28,58.39,91,4.59,100,RU
Port Blair,11.67,92.75,82.85,79,16.75,97,IN
Tvøroyri,61.56,-6.81,46.4,93,26.4,100,FO
Guru Har Sahāi,30.72,74.42,88.72,52,3.85,33,IN
Korla,41.76,86.15,84.0,51,12.44,45,CN
San Jose,37.34,-121.89,82.99,47,11.41,20,US
Ishigaki,24.34,124.16,84.2,89,6.93,20,JP
Vaitape,-16.52,-151.75,80.17,73,21.7,100,PF
San Fernando del Valle de Catamarca,-28.47,-65.79,50.52,46,8.16,0,AR
Zunyi,27.69,106.91,67.44,89,2.24,61,CN
Huarmey,-10.07,-78.15,62.65,77,9.22,3,PE
Nome,64.5,-165.41,50.0,93,17.22,90,US
Tafresh,34.69,50.01,71.44,22,4.34,20,IR
Fukuechō,32.69,128.84,80.15,89,7.7,98,JP
Charters Towers,-20.1,146.27,56.89,43,9.51,0,AU
Shingū,33.73,135.98,77.79,92,3.02,100,JP
Mogzon,51.74,111.96,62.76,94,2.98,100,RU
Ngunguru,-35.62,174.5,60.01,16,11.99,99,NZ
Eyl,7.98,49.82,78.96,75,20.94,0,SO
Acapulco de Juárez,16.86,-99.89,86.0,74,3.09,75,MX
Argostoli,38.18,20.49,78.8,61,3.49,0,GR
Vidim,56.41,103.11,58.89,77,3.44,100,RU
Inhambane,-23.86,35.38,61.7,66,4.09,0,MZ
Avera,33.19,-82.53,86.0,66,11.41,1,US
Río Gallegos,-51.62,-69.22,35.6,92,4.7,75,AR
Bairiki Village,1.33,172.98,86.0,66,16.11,75,KI
Havelock,34.88,-76.9,84.0,78,8.7,75,US
Lixouri,38.2,20.43,78.8,61,2.73,0,GR
Cravo Norte,6.3,-70.2,82.13,70,1.05,31,CO
Vrangel',42.73,133.08,68.18,83,5.91,12,RU
São João da Barra,-21.64,-41.05,72.64,80,18.14,0,BR
La Rioja,42.25,-2.5,71.6,73,4.7,90,ES
Chiang Kham,19.52,100.3,77.0,100,0.18,75,TH
Dombarovskiy,50.76,59.54,59.23,82,4.07,0,RU
Batemans Bay,-35.72,150.18,55.0,85,1.01,91,AU
Puerto Madryn,-42.77,-65.04,44.92,60,9.44,0,AR
Posse,-14.09,-46.37,68.61,54,3.56,56,BR
Altamont,42.21,-121.74,93.0,17,3.36,1,US
Puerto del Rosario,28.5,-13.86,73.4,83,24.16,90,ES
Juba,4.85,31.58,70.63,90,1.9,98,SS
Pisco,-13.7,-76.22,62.6,72,9.17,75,PE
Myitkyina,25.38,97.4,74.77,96,0.47,87,MM
Carmelo,-33.99,-58.29,51.8,42,4.7,0,UY
Strathmore,51.05,-113.39,82.99,55,5.01,9,CA
Bac Lieu,9.29,105.72,80.38,83,7.05,92,VN
Cosalá,24.41,-106.69,81.54,79,3.47,69,MX
Okha,53.57,142.95,68.7,71,12.15,0,RU
Kuytun,54.34,101.5,59.7,78,5.66,100,RU
Markova,48.68,24.41,61.59,86,5.88,0,UA
Methóni,36.82,21.7,80.01,78,2.24,0,GR
Aldan,58.6,125.39,71.96,76,8.72,59,RU
Clyde River,70.47,-68.59,44.6,87,11.41,20,CA
Hobyo,5.35,48.53,77.36,82,21.43,3,SO
‘Ewa Beach,21.32,-158.01,87.8,48,12.75,75,US
Esim,4.87,-2.24,74.25,89,7.29,80,GH
Oodweyne,9.41,45.06,70.12,68,15.59,27,SO
Manyana,-23.4,21.72,49.44,46,7.85,0,BW
Inírida,3.87,-67.92,77.2,89,2.46,40,CO
Kieta,-6.22,155.63,84.16,65,2.64,100,PG
Kanash,55.51,47.5,60.8,87,4.47,0,RU
Honiara,-9.43,159.95,84.2,83,3.36,40,SB
Arrondissement d'Arcachon,44.59,-1.05,60.8,87,3.36,0,FR
Buala,-8.14,159.59,85.46,69,5.1,98,SB
Abay,49.63,72.85,57.2,93,4.47,40,KZ
Arvika,59.66,12.59,52.0,93,5.82,22,SE
Umm Kaddadah,13.6,26.69,78.03,65,19.91,72,SD
Muscat,23.61,58.59,89.6,70,3.36,14,OM
Jyvaskyla,62.24,25.72,61.0,93,2.24,40,FI
Geraldton,-28.77,114.6,48.2,87,8.05,0,AU
New Glasgow,45.58,-62.65,79.0,87,1.01,16,CA
São Filipe,14.9,-24.5,77.59,80,5.88,62,CV
Muros,42.78,-9.06,64.99,78,4.0,3,ES
Bosaso,11.28,49.18,89.17,50,11.54,7,SO
Arrondissement de Vannes,47.83,-2.5,57.99,76,8.05,44,FR
Kikwit,-5.04,18.82,77.32,33,0.72,0,CD
Ha Tinh,18.33,105.9,79.63,78,2.59,98,VN
Businga,3.33,20.88,69.51,95,0.4,100,CD
Magaria,13.0,8.91,82.29,59,9.57,66,NE
Beloha,-25.17,45.05,62.19,81,8.88,11,MG
Polunochnoye,60.87,60.42,44.29,85,1.48,8,RU
Arawa,-6.21,155.54,84.94,63,1.83,100,PG
Roald,62.58,6.13,61.0,87,10.29,72,NO
Burgersdorp,-31.0,26.33,42.24,62,3.67,0,ZA
Grootfontein,-19.57,18.12,43.63,60,3.96,0,NA
San Ramon,37.78,-121.98,93.0,22,12.75,1,US
Silver City,32.77,-108.28,84.2,35,16.11,40,US
Biskupiec,53.86,20.96,64.4,100,4.7,71,PL
Shamkhal,43.06,47.34,78.8,65,8.95,40,RU
Skjervøy,70.03,20.97,59.52,72,17.49,75,NO
Suda,59.15,37.56,63.77,95,7.11,100,RU
Ibotirama,-12.19,-43.22,75.81,46,8.41,62,BR
Porto Murtinho,-21.7,-57.88,64.29,68,10.31,13,BR
Pailón,-17.65,-62.75,71.6,46,10.29,40,BO
Lerwick,60.15,-1.15,55.4,93,14.99,100,GB
Blagoyevo,63.37,47.92,58.17,88,2.95,90,RU
Saint George,37.1,-113.58,105.01,9,14.99,1,US
Gushikawa,26.35,127.87,84.2,89,12.75,20,JP
Ponta do Sol,32.67,-17.1,71.6,73,14.99,40,PT
Nelson Bay,-32.72,152.15,59.0,93,11.41,20,AU
Kibala,9.11,18.35,71.85,95,2.53,100,TD
Kirakira,-10.45,161.92,84.29,73,6.15,100,SB
Sept-Îles,50.2,-66.38,59.0,93,13.87,90,CA
Leshukonskoye,64.9,45.76,54.28,93,2.24,9,RU
Verkhnevilyuysk,63.45,120.32,52.57,66,7.34,100,RU
Williamsport,41.24,-77.0,89.6,29,9.17,1,US
Bodden Town,19.28,-81.25,89.6,66,10.29,20,KY
Środa Wielkopolska,52.23,17.28,66.2,72,5.82,64,PL
Arman',59.7,150.17,59.34,89,3.98,100,RU
Fenyi,27.81,114.67,77.16,94,1.66,100,CN
Fairbanks,64.84,-147.72,60.8,63,13.87,90,US
Huilong,31.81,121.66,84.99,94,1.99,100,CN
Okhotsk,59.38,143.3,68.81,75,7.96,73,RU
Kitob,39.08,66.83,76.66,26,4.23,0,UZ
Nambucca Heads,-30.65,153.0,63.0,67,8.05,21,AU
Egvekinot,66.32,-179.17,48.65,70,6.42,89,RU
Machiques,10.06,-72.55,81.01,81,7.78,50,VE
Cap Malheureux,-19.98,57.61,70.0,78,3.0,11,MU
Gabú,12.28,-14.22,73.62,97,4.83,100,GW
San Lorenzo,-25.33,-57.53,55.4,50,13.87,75,PY
Bara,10.37,10.73,74.34,91,6.98,64,NG
Sabalgarh,26.25,77.4,84.97,74,3.47,100,IN
Dahuk,36.87,42.99,86.5,26,4.59,71,IQ
Kiryat Gat,31.61,34.76,81.0,58,0.45,6,IL
Boyolangu,-8.12,111.89,70.61,87,6.69,62,ID
Imbituba,-28.24,-48.67,55.4,93,13.87,75,BR
Aswān,24.09,32.91,94.1,26,8.66,100,EG
Poum,-20.23,164.02,75.09,78,35.12,86,NC
Naantali,60.47,22.02,57.2,82,5.82,57,FI
Lumeje,-11.55,20.78,56.64,38,4.63,0,AO
Balaipungut,1.05,101.28,75.2,88,1.32,20,ID
Handiā,25.38,82.18,80.33,85,2.37,100,IN
Madera,37.17,-119.83,102.0,19,1.99,0,US
Cockburn Town,21.46,-71.14,86.0,66,18.34,40,TC
Chumikan,54.72,135.31,75.47,67,19.01,6,RU
Manama,26.22,50.58,95.0,67,4.7,5,BH
Ahipara,-35.17,173.17,58.51,69,11.99,91,NZ
Vágur,61.47,-6.81,48.69,90,23.35,100,FO
Bonthe,7.53,-12.51,76.66,81,8.95,99,SL
Pimentel,-6.84,-79.93,60.91,82,14.34,22,PE
Farap,39.17,63.61,82.4,37,9.17,0,TM
Sistranda,63.73,8.83,64.4,63,18.34,40,NO
Sørland,67.67,12.69,59.72,75,14.76,6,NO
Bahía Honda,22.9,-83.16,84.65,74,9.84,0,CU
Kavaratti,10.57,72.64,81.18,79,17.78,99,IN
Celendín,-6.87,-78.15,68.0,34,6.93,40,PE
Knysna,-34.04,23.05,55.4,93,4.7,77,ZA
Diavatós,40.55,22.27,77.0,52,5.82,0,GR
Port Hardy,50.7,-127.42,64.4,68,11.41,40,CA
Port Hedland,-20.32,118.57,51.8,34,8.05,0,AU
Leer,8.3,30.14,70.2,96,5.14,61,SS
Bereket,39.24,55.52,89.37,31,7.27,0,TM
Esmeralda,21.85,-78.12,87.8,58,18.34,66,CU
Tezu,27.92,96.17,75.09,83,1.45,99,IN
Gouyave,12.16,-61.73,78.8,94,5.82,90,GD
Ostrovnoy,68.05,39.51,52.63,87,5.46,16,RU
Andrews,32.32,-102.55,98.6,23,11.41,40,US
Hualmay,-11.1,-77.61,61.97,78,10.13,6,PE
Husavik,66.04,-17.34,50.0,76,6.93,40,IS
Jacqueville,5.21,-4.41,75.2,94,4.7,20,CI
Kaitong,44.81,123.15,75.58,70,11.36,50,CN
